订单号,日期,用户ID,渠道,类目,SKU,数量,单价,实付金额,是否退款
SO202501269,2026-02-10,11199,推荐,数码,数码-008,2,1259,2341.57,否
SO202503427,2026-02-10,11679,直播,女装,女装-027,3,149,437.52,否
SO202504026,2026-02-10,11777,直播,家居,家居-004,3,59,158.86,否
SO202504673,2026-02-10,10248,推荐,美妆,美妆-011,2,129,242.48,否
SO202500963,2026-02-10,11009,推荐,美妆,美妆-016,2,279,539.21,否
SO202500018,2026-02-10,11280,直播,女装,女装-022,1,269,246.84,否
SO202503071,2026-02-10,10356,推荐,家居,家居-001,1,39,36.09,否
SO202503175,2026-02-10,10680,搜索,女装,女装-035,2,289,571.22,是
SO202503046,2026-02-10,10976,直播,女装,女装-031,2,189,335.17,否
SO202500752,2026-02-10,11786,直播,家居,家居-013,1,39,33.6,否
SO202502545,2026-02-11,11679,搜索,美妆,美妆-015,1,199,181.67,否
SO202503485,2026-02-11,11023,社群,美妆,美妆-001,2,129,222.38,否
SO202503486,2026-02-11,11373,搜索,女装,女装-032,2,309,565.92,否
SO202503251,2026-02-11,11118,搜索,男装,男装-002,1,239,217.7,否
SO202504897,2026-02-11,11155,社群,男装,男装-013,2,319,607.49,否
SO202503453,2026-02-11,10912,推荐,男装,男装-012,1,139,135.82,否
SO202503323,2026-02-11,10896,搜索,美妆,美妆-016,1,279,244.46,否
SO202501386,2026-02-11,10772,搜索,美妆,美妆-015,3,199,565.76,否
SO202503333,2026-02-11,11192,直播,男装,男装-019,1,189,182.57,否
SO202500497,2026-02-11,11070,直播,家居,家居-011,3,119,306.09,否
SO202503571,2026-02-11,10542,搜索,家居,家居-007,3,199,593.19,否
SO202501536,2026-02-11,10071,直播,男装,男装-008,1,299,285.38,否
SO202500871,2026-02-11,11106,直播,女装,女装-025,2,159,303.7,否
SO202501490,2026-02-11,10397,直播,美妆,美妆-011,3,129,340.07,是
SO202501035,2026-02-11,11409,搜索,美妆,美妆-001,2,129,228.55,否
SO202504314,2026-02-12,11567,社群,美妆,美妆-010,3,389,1117.1,否
SO202502206,2026-02-12,10759,推荐,美妆,美妆-018,2,489,895.06,否
SO202502258,2026-02-12,11178,搜索,美妆,美妆-017,3,359,1020.69,否
SO202503066,2026-02-12,11644,搜索,女装,女装-023,1,169,147.31,否
SO202501807,2026-02-12,11052,搜索,男装,男装-013,1,319,273.57,否
SO202503796,2026-02-12,11585,社群,美妆,美妆-002,1,369,342.54,否
SO202504793,2026-02-12,11388,搜索,男装,男装-005,1,269,232.39,否
SO202502043,2026-02-12,10223,直播,男装,男装-020,1,299,270.24,是
SO202503801,2026-02-12,10336,社群,男装,男装-025,1,169,168.1,否
SO202500493,2026-02-12,11650,推荐,美妆,美妆-005,2,369,682.99,否
SO202502616,2026-02-12,11620,推荐,美妆,美妆-007,1,159,158.29,否
SO202504757,2026-02-13,10513,推荐,美妆,美妆-015,2,199,351.24,否
SO202502481,2026-02-13,10083,搜索,美妆,美妆-011,2,129,246.13,否
SO202504250,2026-02-13,10989,社群,美妆,美妆-003,2,119,224.88,否
SO202502341,2026-02-13,11078,推荐,男装,男装-006,1,199,182.31,否
SO202500092,2026-02-13,11683,直播,女装,女装-001,1,169,156.64,否
SO202500149,2026-02-13,11225,推荐,女装,女装-001,1,169,165.91,否
SO202504823,2026-02-13,11022,推荐,女装,女装-013,3,249,681.11,否
SO202503913,2026-02-13,10403,直播,男装,男装-006,2,199,385.84,否
SO202503941,2026-02-13,11259,直播,女装,女装-035,2,289,576.86,否
SO202500665,2026-02-13,10080,社群,美妆,美妆-018,1,489,465.19,否
SO202501091,2026-02-13,10101,社群,女装,女装-035,2,289,569.7,否
SO202503885,2026-02-13,10888,直播,女装,女装-031,3,189,545.58,否
SO202500841,2026-02-14,11054,直播,家居,家居-006,1,109,105.67,否
SO202502086,2026-02-14,10696,推荐,女装,女装-026,2,209,368.35,否
SO202504182,2026-02-14,11259,社群,家居,家居-006,2,109,186.02,否
SO202502216,2026-02-14,11327,直播,女装,女装-021,3,269,689.33,否
SO202501951,2026-02-14,11842,社群,美妆,美妆-001,2,129,250.81,否
SO202504921,2026-02-14,11895,推荐,女装,女装-021,1,269,240.74,否
SO202501526,2026-02-14,11979,推荐,女装,女装-032,3,309,799.2,否
SO202503197,2026-02-14,11799,社群,美妆,美妆-015,2,199,354.69,否
SO202502467,2026-02-14,10649,推荐,女装,女装-032,2,309,538.76,否
SO202503629,2026-02-14,10920,搜索,男装,男装-021,2,349,679.58,否
SO202504481,2026-02-14,11811,直播,美妆,美妆-018,1,489,460.43,否
SO202500025,2026-02-14,10101,推荐,女装,女装-021,2,269,473.31,否
SO202503294,2026-02-14,10816,推荐,男装,男装-005,1,269,252.81,否
SO202502147,2026-02-14,11822,推荐,女装,女装-034,1,259,244.59,否
SO202501624,2026-02-14,11983,推荐,女装,女装-003,1,189,176.97,否
SO202500808,2026-02-14,10083,社群,家居,家居-011,1,119,116.63,否
SO202501963,2026-02-14,11409,直播,家居,家居-006,1,109,97.43,否
SO202501545,2026-02-15,11908,搜索,美妆,美妆-007,1,159,140.02,否
SO202502317,2026-02-15,10760,推荐,女装,女装-002,2,209,360.73,否
SO202503115,2026-02-15,10887,直播,美妆,美妆-003,3,119,317.49,否
SO202502334,2026-02-15,10080,直播,男装,男装-014,1,149,131.1,否
SO202504891,2026-02-15,11488,社群,男装,男装-014,2,149,273.78,否
SO202500802,2026-02-15,11023,社群,男装,男装-006,2,199,357.83,否
SO202502758,2026-02-15,10076,直播,美妆,美妆-017,1,359,312.0,否
SO202502089,2026-02-15,10336,直播,男装,男装-005,3,269,696.55,否
SO202500951,2026-02-15,10447,推荐,美妆,美妆-006,3,319,874.56,否
SO202503895,2026-02-15,10925,搜索,男装,男装-021,1,349,310.67,否
SO202503309,2026-02-15,10007,搜索,美妆,美妆-009,3,379,1040.31,否
SO202502514,2026-02-15,11956,搜索,家居,家居-007,3,199,541.04,否
SO202500464,2026-02-15,11966,社群,男装,男装-013,2,319,543.13,否
SO202501357,2026-02-15,10008,搜索,家居,家居-004,1,59,53.52,否
SO202502448,2026-02-16,11567,社群,男装,男装-008,3,299,810.65,否
SO202501622,2026-02-16,10071,社群,女装,女装-032,1,309,298.85,否
SO202501617,2026-02-16,11974,搜索,女装,女装-001,1,169,167.69,否
SO202504487,2026-02-16,11564,推荐,男装,男装-001,3,329,889.1,否
SO202500966,2026-02-16,11798,直播,男装,男装-004,1,299,255.72,否
SO202504411,2026-02-16,11933,社群,美妆,美妆-010,2,389,664.03,否
SO202504264,2026-02-16,11068,搜索,男装,男装-020,1,299,286.64,否
SO202500445,2026-02-16,11388,直播,女装,女装-023,2,169,306.58,否
SO202502743,2026-02-16,10530,搜索,家居,家居-007,1,199,184.29,否
SO202504162,2026-02-16,11192,搜索,女装,女装-021,1,269,265.87,否
SO202504012,2026-02-16,10450,直播,男装,男装-004,2,299,597.62,否
SO202501150,2026-02-16,11929,直播,美妆,美妆-017,2,359,612.21,否
SO202501341,2026-02-16,10542,推荐,美妆,美妆-016,1,279,248.35,否
SO202503146,2026-02-16,10525,社群,女装,女装-022,1,269,251.36,否
SO202502553,2026-02-17,10871,社群,家居,家居-007,2,199,355.62,否
SO202501868,2026-02-17,10976,社群,美妆,美妆-010,3,389,1058.27,否
SO202504286,2026-02-17,10508,直播,美妆,美妆-001,2,129,256.47,否
SO202503280,2026-02-17,11213,推荐,女装,女装-011,3,159,451.13,否
SO202504966,2026-02-17,11786,社群,美妆,美妆-014,2,239,427.07,否
SO202504972,2026-02-17,11306,直播,女装,女装-014,1,259,242.02,否
SO202502012,2026-02-17,11734,搜索,美妆,美妆-007,2,159,308.94,否
SO202501363,2026-02-18,10461,社群,美妆,美妆-001,2,129,231.47,否
SO202503222,2026-02-18,11995,搜索,男装,男装-019,1,189,164.62,否
SO202504692,2026-02-18,11956,推荐,美妆,美妆-001,1,129,116.01,否
SO202501212,2026-02-18,10747,推荐,女装,女装-033,1,289,254.98,否
SO202502504,2026-02-18,10698,直播,美妆,美妆-003,2,119,221.86,是
SO202503257,2026-02-18,10808,搜索,男装,男装-015,1,149,137.83,否
SO202502946,2026-02-18,10757,社群,男装,男装-006,2,199,338.79,否
SO202502838,2026-02-18,11349,搜索,男装,男装-006,3,199,572.76,否
SO202504321,2026-02-18,10276,推荐,男装,男装-025,1,169,163.69,否
SO202501663,2026-02-18,11515,搜索,男装,男装-014,2,149,297.28,否
SO202502118,2026-02-18,11832,推荐,男装,男装-020,2,299,573.28,否
SO202502187,2026-02-19,10333,推荐,女装,女装-033,1,289,265.66,否
SO202500322,2026-02-19,10319,推荐,女装,女装-032,2,309,603.72,否
SO202504005,2026-02-19,11438,直播,美妆,美妆-003,2,119,225.45,否
SO202503727,2026-02-19,10439,搜索,女装,女装-031,2,189,367.35,否
SO202503246,2026-02-19,10285,直播,男装,男装-020,3,299,794.21,否
SO202504285,2026-02-19,10222,搜索,家居,家居-010,1,179,167.09,否
SO202501838,2026-02-19,11966,直播,美妆,美妆-011,2,129,237.75,否
SO202502811,2026-02-19,10334,搜索,美妆,美妆-003,1,119,117.76,否
SO202503045,2026-02-19,11533,搜索,家居,家居-007,1,199,196.57,否
SO202500061,2026-02-19,10820,推荐,美妆,美妆-001,1,129,125.87,否
SO202503018,2026-02-19,11023,直播,美妆,美妆-015,1,199,173.55,否
SO202501720,2026-02-19,11182,社群,家居,家居-013,1,39,34.82,否
SO202502037,2026-02-19,11933,搜索,数码,数码-002,2,859,1466.95,是
SO202502494,2026-02-20,11171,直播,美妆,美妆-018,1,489,437.1,是
SO202501141,2026-02-20,10627,推荐,女装,女装-032,2,309,565.25,否
SO202502801,2026-02-20,11189,直播,男装,男装-019,2,189,363.76,否
SO202503996,2026-02-20,11078,直播,女装,女装-014,2,259,461.14,否
SO202504087,2026-02-20,10439,推荐,美妆,美妆-010,1,389,351.47,否
SO202504635,2026-02-20,10026,搜索,女装,女装-031,1,189,160.74,否
SO202501309,2026-02-20,10323,搜索,女装,女装-011,1,159,135.91,否
SO202502426,2026-02-20,10390,社群,美妆,美妆-010,1,389,374.72,否
SO202500880,2026-02-20,10276,直播,家居,家居-006,3,109,310.33,否
SO202502906,2026-02-20,10175,直播,家居,家居-007,3,199,562.88,否
SO202502046,2026-02-20,10081,搜索,女装,女装-032,2,309,606.87,否
SO202503450,2026-02-20,11930,直播,女装,女装-014,1,259,252.49,否
SO202502437,2026-02-20,11567,直播,美妆,美妆-009,3,379,1075.33,否
SO202502077,2026-02-21,11962,推荐,美妆,美妆-001,1,129,125.82,否
SO202500616,2026-02-21,11956,搜索,家居,家居-014,2,59,114.8,否
SO202500266,2026-02-21,11301,搜索,女装,女装-021,1,269,241.89,否
SO202501158,2026-02-21,11581,搜索,男装,男装-007,1,129,128.86,否
SO202503572,2026-02-21,10774,搜索,女装,女装-023,3,169,437.28,否
SO202502440,2026-02-21,10324,搜索,女装,女装-013,2,249,435.62,否
SO202502023,2026-02-21,11025,直播,女装,女装-022,1,269,249.33,否
SO202504901,2026-02-21,11912,直播,美妆,美妆-011,1,129,118.08,否
SO202503586,2026-02-21,10026,搜索,男装,男装-002,1,239,229.05,否
SO202501552,2026-02-21,11323,直播,男装,男装-006,1,199,174.76,否
SO202503056,2026-02-21,10054,搜索,男装,男装-021,2,349,686.74,是
SO202502336,2026-02-21,11715,社群,美妆,美妆-018,1,489,481.19,否
SO202503744,2026-02-21,11783,直播,美妆,美妆-018,2,489,932.88,否
SO202500535,2026-02-21,11468,直播,男装,男装-020,2,299,549.62,否
SO202500579,2026-02-21,11544,直播,美妆,美妆-001,1,129,110.33,否
SO202500115,2026-02-21,11842,直播,数码,数码-005,1,2639,2332.36,否
SO202504171,2026-02-21,10069,直播,家居,家居-006,2,109,199.88,是
SO202501010,2026-02-21,11658,搜索,男装,男装-015,2,149,262.87,否
SO202500091,2026-02-22,11732,直播,女装,女装-025,1,159,154.0,否
SO202500495,2026-02-22,11975,直播,美妆,美妆-017,1,359,349.75,否
SO202502144,2026-02-22,10770,直播,美妆,美妆-015,2,199,347.47,否
SO202504938,2026-02-22,10837,直播,女装,女装-014,2,259,491.04,否
SO202502038,2026-02-22,10576,搜索,美妆,美妆-001,2,129,252.4,是
SO202504631,2026-02-22,10033,直播,家居,家居-010,2,179,320.48,否
SO202504812,2026-02-22,10828,直播,女装,女装-033,1,289,277.61,否
SO202502005,2026-02-22,10664,推荐,数码,数码-001,1,2439,2092.08,否
SO202500741,2026-02-22,10576,搜索,女装,女装-022,2,269,486.71,否
SO202500238,2026-02-22,11912,推荐,美妆,美妆-011,1,129,109.78,否
SO202502409,2026-02-22,10681,推荐,数码,数码-005,3,2639,7709.15,否
SO202500953,2026-02-22,10879,直播,美妆,美妆-017,1,359,339.31,否
SO202502882,2026-02-22,11670,搜索,数码,数码-002,1,859,737.96,否
SO202501315,2026-02-22,10540,社群,美妆,美妆-015,1,199,196.96,否
SO202500976,2026-02-22,10539,搜索,男装,男装-020,1,299,270.06,否
SO202501001,2026-02-22,11432,直播,男装,男装-006,3,199,532.12,否
SO202500218,2026-02-22,10279,搜索,女装,女装-023,1,169,157.79,否
SO202500576,2026-02-22,10859,搜索,家居,家居-014,1,59,58.66,否
SO202502732,2026-02-22,10760,推荐,男装,男装-019,3,189,520.87,否
SO202504270,2026-02-23,11347,搜索,美妆,美妆-001,2,129,235.52,否
SO202503238,2026-02-23,10603,推荐,数码,数码-007,3,1359,3943.99,否
SO202503622,2026-02-23,11280,直播,男装,男装-019,1,189,171.77,否
SO202502098,2026-02-23,10621,社群,家居,家居-010,2,179,332.67,否
SO202503148,2026-02-23,10952,社群,美妆,美妆-015,1,199,179.97,否
SO202504395,2026-02-23,10703,直播,男装,男装-014,2,149,287.22,否
SO202502539,2026-02-23,11071,直播,美妆,美妆-003,1,119,110.55,是
SO202503111,2026-02-23,10804,直播,女装,女装-026,2,209,382.07,否
SO202504507,2026-02-23,11727,直播,女装,女装-003,1,189,162.72,否
SO202500679,2026-02-23,10355,社群,男装,男装-015,2,149,287.01,否
SO202504954,2026-02-23,11057,搜索,美妆,美妆-001,1,129,124.6,否
SO202503635,2026-02-23,10198,搜索,男装,男装-012,2,139,271.13,否
SO202502173,2026-02-23,10542,推荐,美妆,美妆-003,1,119,102.49,否
SO202500028,2026-02-23,10217,推荐,男装,男装-006,1,199,191.3,否
SO202501026,2026-02-23,11986,直播,美妆,美妆-015,1,199,179.58,是
SO202503958,2026-02-23,10012,社群,男装,男装-005,2,269,459.82,否
SO202500381,2026-02-24,10217,直播,美妆,美妆-003,1,119,109.31,否
SO202501407,2026-02-24,11762,搜索,美妆,美妆-003,1,119,102.51,否
SO202502111,2026-02-24,11857,直播,美妆,美妆-009,2,379,684.77,否
SO202502186,2026-02-24,10461,搜索,美妆,美妆-001,1,129,119.82,否
SO202503170,2026-02-24,10213,社群,女装,女装-021,2,269,515.69,否
SO202501253,2026-02-24,11283,直播,美妆,美妆-007,2,159,287.84,否
SO202502990,2026-02-24,11927,直播,美妆,美妆-015,1,199,193.33,否
SO202504364,2026-02-24,11007,直播,家居,家居-007,2,199,379.01,是
SO202501169,2026-02-24,11076,直播,家居,家居-004,1,59,55.06,否
SO202502429,2026-02-24,10447,直播,美妆,美妆-010,2,389,730.73,否
SO202500618,2026-02-24,11627,社群,女装,女装-007,1,129,113.06,否
SO202503937,2026-02-25,10020,推荐,美妆,美妆-001,1,129,117.41,否
SO202501325,2026-02-25,11299,直播,男装,男装-025,3,169,444.59,否
SO202504874,2026-02-25,11753,推荐,数码,数码-010,2,2029,3788.69,否
SO202502123,2026-02-25,10161,社群,家居,家居-006,1,109,106.85,否
SO202502074,2026-02-25,10145,直播,美妆,美妆-001,1,129,116.56,否
SO202500312,2026-02-25,11301,直播,数码,数码-009,2,1399,2423.05,否
SO202501084,2026-02-25,11812,推荐,男装,男装-004,2,299,562.83,否
SO202502935,2026-02-25,11537,社群,数码,数码-008,1,1259,1192.66,否
SO202500521,2026-02-25,10175,直播,女装,女装-003,2,189,333.36,否
SO202500936,2026-02-25,11545,直播,女装,女装-022,1,269,256.41,否
SO202502264,2026-02-26,11783,直播,家居,家居-011,2,119,219.63,否
SO202500780,2026-02-26,11509,搜索,女装,女装-014,2,259,485.28,否
SO202502015,2026-02-26,11802,社群,女装,女装-017,2,149,285.71,否
SO202501537,2026-02-26,10827,直播,女装,女装-014,3,259,761.79,否
SO202502464,2026-02-26,10614,直播,数码,数码-005,1,2639,2541.45,否
SO202500041,2026-02-26,11439,直播,女装,女装-022,1,269,242.46,否
SO202500294,2026-02-26,10542,推荐,男装,男装-008,1,299,259.86,否
SO202501710,2026-02-26,11269,推荐,男装,男装-014,3,149,434.11,否
SO202503444,2026-02-26,11902,推荐,女装,女装-023,1,169,158.82,否
SO202502724,2026-02-26,10274,直播,美妆,美妆-018,2,489,969.83,否
SO202502999,2026-02-26,11960,搜索,美妆,美妆-011,1,129,118.75,否
SO202503800,2026-02-26,10065,搜索,美妆,美妆-002,1,369,326.08,否
SO202501746,2026-02-26,11795,直播,女装,女装-032,1,309,290.12,否
SO202504148,2026-02-26,10336,直播,数码,数码-010,3,2029,5319.92,否
SO202500813,2026-02-26,10346,社群,男装,男装-006,2,199,344.61,是
SO202502321,2026-02-26,11679,直播,男装,男装-013,2,319,576.5,否
SO202502943,2026-02-26,11361,直播,女装,女装-032,1,309,290.91,否
SO202504865,2026-02-26,11448,直播,女装,女装-021,3,269,763.72,否
SO202503396,2026-02-26,10590,搜索,男装,男装-024,2,109,203.31,否
SO202503470,2026-02-26,10662,搜索,女装,女装-022,1,269,266.05,否
SO202500999,2026-02-27,11306,社群,家居,家居-004,2,59,104.74,否
SO202502908,2026-02-27,11107,搜索,美妆,美妆-018,3,489,1380.44,否
SO202504280,2026-02-27,11359,搜索,女装,女装-012,2,239,439.49,否
SO202501865,2026-02-27,11269,直播,男装,男装-019,1,189,173.7,否
SO202501693,2026-02-27,11192,搜索,女装,女装-014,3,259,771.21,否
SO202501774,2026-02-27,11022,直播,美妆,美妆-003,2,119,203.73,否
SO202503248,2026-02-27,11192,直播,美妆,美妆-011,1,129,116.8,否
SO202501676,2026-02-27,11167,搜索,女装,女装-021,2,269,463.1,否
SO202502220,2026-02-27,11908,搜索,数码,数码-009,1,1399,1306.49,否
SO202502108,2026-02-27,10064,搜索,女装,女装-021,3,269,731.73,否
SO202501491,2026-02-27,10931,推荐,数码,数码-008,3,1259,3547.77,是
SO202501323,2026-02-27,10882,推荐,家居,家居-012,1,169,163.31,否
SO202504970,2026-02-27,10267,搜索,女装,女装-021,2,269,514.94,否
SO202502080,2026-02-27,11843,推荐,家居,家居-004,1,59,57.09,是
SO202503328,2026-02-28,10454,直播,美妆,美妆-001,1,129,117.97,否
SO202500974,2026-02-28,11153,搜索,女装,女装-024,2,299,527.61,否
SO202504859,2026-02-28,11670,推荐,美妆,美妆-003,1,119,107.2,否
SO202501301,2026-02-28,11946,搜索,美妆,美妆-001,1,129,111.58,否
SO202502345,2026-02-28,10618,直播,男装,男装-013,1,319,283.96,否
SO202502904,2026-02-28,11671,推荐,美妆,美妆-020,2,479,908.48,否
SO202502180,2026-02-28,11980,直播,美妆,美妆-018,2,489,906.96,否
SO202500907,2026-02-28,11230,推荐,女装,女装-025,2,159,275.57,否
SO202502120,2026-02-28,10267,社群,家居,家居-004,1,59,57.19,是
SO202503495,2026-02-28,11280,推荐,女装,女装-012,1,239,209.51,否
SO202504348,2026-02-28,10103,搜索,女装,女装-035,1,289,264.46,否
SO202503192,2026-02-28,10125,直播,男装,男装-006,2,199,363.56,否
SO202503020,2026-02-28,11057,搜索,女装,女装-022,1,269,248.18,否
SO202501401,2026-02-28,10298,社群,女装,女装-005,1,269,256.92,否
SO202501048,2026-02-28,11491,直播,男装,男装-006,2,199,356.5,否
SO202503507,2026-02-28,10967,搜索,男装,男装-025,1,169,149.29,否
SO202501262,2026-02-28,10151,推荐,家居,家居-011,1,119,111.92,否
SO202504390,2026-02-28,10281,直播,美妆,美妆-011,3,129,338.07,否
SO202503152,2026-02-28,11076,搜索,家居,家居-004,2,59,105.68,否
SO202503363,2026-02-28,11353,推荐,男装,男装-018,3,159,421.76,否
SO202500568,2026-03-01,10489,推荐,数码,数码-007,2,1359,2478.38,否
SO202500731,2026-03-01,11755,搜索,家居,家居-014,1,59,57.32,否
SO202501882,2026-03-01,11269,社群,美妆,美妆-011,3,129,356.59,否
SO202501033,2026-03-01,11147,社群,男装,男装-001,1,329,307.13,否
SO202502697,2026-03-01,10007,直播,美妆,美妆-007,2,159,307.44,否
SO202501666,2026-03-01,11046,直播,男装,男装-012,2,139,256.93,否
SO202504961,2026-03-01,10760,直播,女装,女装-025,1,159,148.49,否
SO202504965,2026-03-01,11755,推荐,女装,女装-014,2,259,501.09,否
SO202503262,2026-03-01,10527,推荐,女装,女装-022,2,269,468.5,否
SO202504073,2026-03-01,10077,搜索,男装,男装-001,1,329,309.67,否
SO202501045,2026-03-01,10828,社群,男装,男装-006,1,199,197.69,否
SO202502298,2026-03-01,10346,搜索,美妆,美妆-001,2,129,244.21,否
SO202503124,2026-03-01,11545,搜索,女装,女装-032,3,309,915.58,否
SO202502236,2026-03-01,11803,推荐,男装,男装-005,2,269,461.25,否
SO202501766,2026-03-01,10201,直播,女装,女装-014,1,259,254.8,否
SO202501330,2026-03-02,11912,推荐,男装,男装-019,2,189,339.36,否
SO202500593,2026-03-02,11085,直播,女装,女装-032,1,309,286.17,否
SO202500122,2026-03-02,10265,直播,女装,女装-003,1,189,166.44,否
SO202501412,2026-03-02,11995,直播,家居,家居-007,1,199,171.69,否
SO202503852,2026-03-02,11873,社群,美妆,美妆-020,2,479,869.55,否
SO202504008,2026-03-02,11187,直播,男装,男装-007,1,129,116.13,否
SO202504703,2026-03-03,10649,直播,女装,女装-032,1,309,271.2,否
SO202500442,2026-03-03,10071,直播,女装,女装-014,2,259,501.39,否
SO202503073,2026-03-03,10248,直播,美妆,美妆-015,3,199,522.03,否
SO202500460,2026-03-03,10035,推荐,男装,男装-021,2,349,642.91,否
SO202500864,2026-03-03,11369,搜索,男装,男装-006,1,199,180.54,否
SO202501417,2026-03-03,10627,搜索,女装,女装-021,2,269,462.5,否
SO202501227,2026-03-03,11330,搜索,男装,男装-020,1,299,254.37,否
SO202503738,2026-03-03,11527,社群,女装,女装-022,2,269,477.17,否
SO202500267,2026-03-03,11189,社群,家居,家居-011,2,119,221.12,否
SO202504351,2026-03-03,10049,搜索,女装,女装-021,2,269,530.44,否
SO202503749,2026-03-03,10346,社群,家居,家居-004,2,59,115.96,否
SO202501508,2026-03-03,10808,搜索,家居,家居-007,3,199,513.08,否
SO202504681,2026-03-03,10803,直播,男装,男装-020,1,299,279.58,否
SO202501284,2026-03-03,10497,推荐,美妆,美妆-017,1,359,353.68,否
SO202501689,2026-03-03,11221,搜索,美妆,美妆-018,3,489,1264.57,否
SO202501842,2026-03-03,10762,直播,女装,女装-007,1,129,128.02,否
SO202503395,2026-03-03,11023,搜索,男装,男装-020,1,299,295.22,否
SO202504462,2026-03-03,11579,直播,美妆,美妆-011,1,129,125.6,否
SO202504661,2026-03-04,11482,推荐,男装,男装-014,1,149,139.36,否
SO202501832,2026-03-04,11361,直播,男装,男装-020,2,299,558.35,否
SO202502148,2026-03-04,10692,推荐,家居,家居-007,2,199,360.55,否
SO202500965,2026-03-04,11636,直播,女装,女装-023,2,169,313.63,否
SO202503321,2026-03-04,11933,直播,美妆,美妆-011,1,129,128.29,否
SO202500765,2026-03-04,11509,社群,男装,男装-005,2,269,507.28,否
SO202500083,2026-03-04,10634,社群,男装,男装-020,2,299,515.64,否
SO202504459,2026-03-04,10577,直播,家居,家居-004,3,59,168.06,否
SO202501249,2026-03-04,11388,社群,美妆,美妆-015,2,199,384.36,否
SO202504768,2026-03-04,11076,直播,女装,女装-005,2,269,516.99,是
SO202500290,2026-03-04,11882,推荐,男装,男装-004,2,299,570.02,否
SO202502243,2026-03-04,11585,推荐,女装,女装-014,1,259,255.86,否
SO202501757,2026-03-05,11755,推荐,数码,数码-004,3,1909,4992.74,否
SO202501680,2026-03-05,11043,搜索,美妆,美妆-018,1,489,467.09,否
SO202503203,2026-03-05,11107,搜索,家居,家居-007,1,199,193.07,是
SO202504463,2026-03-05,10377,搜索,女装,女装-022,2,269,536.95,否
SO202501214,2026-03-05,11505,社群,男装,男装-006,2,199,339.06,否
SO202501083,2026-03-05,11292,搜索,家居,家居-007,1,199,170.16,否
SO202504324,2026-03-05,11565,推荐,女装,女装-032,2,309,563.75,否
SO202502444,2026-03-05,11299,推荐,女装,女装-031,1,189,161.26,是
SO202500850,2026-03-05,10525,推荐,男装,男装-006,1,199,175.12,否
SO202503037,2026-03-05,11076,搜索,美妆,美妆-011,2,129,246.41,否
SO202504451,2026-03-05,10144,推荐,美妆,美妆-007,1,159,150.92,否
SO202503534,2026-03-06,10265,推荐,男装,男装-006,1,199,188.6,否
SO202504052,2026-03-06,10877,直播,女装,女装-033,1,289,271.11,否
SO202504844,2026-03-06,11540,推荐,女装,女装-003,1,189,179.91,否
SO202503602,2026-03-06,10627,社群,家居,家居-007,1,199,196.44,否
SO202500981,2026-03-06,11132,社群,男装,男装-020,1,299,281.03,否
SO202502789,2026-03-06,11832,社群,美妆,美妆-007,1,159,157.71,否
SO202501835,2026-03-06,11539,搜索,美妆,美妆-018,2,489,875.91,否
SO202503787,2026-03-06,11925,搜索,家居,家居-007,3,199,517.9,否
SO202503174,2026-03-06,10582,搜索,美妆,美妆-003,3,119,337.45,否
SO202502357,2026-03-06,11662,直播,美妆,美妆-015,1,199,173.48,否
SO202501765,2026-03-06,11842,直播,男装,男装-014,2,149,258.29,否
SO202500201,2026-03-06,10976,直播,美妆,美妆-007,3,159,438.08,否
SO202502689,2026-03-06,11157,搜索,美妆,美妆-014,1,239,225.41,否
SO202501111,2026-03-07,11106,社群,男装,男装-012,2,139,237.48,否
SO202501579,2026-03-07,11907,直播,数码,数码-007,2,1359,2403.93,否
SO202501556,2026-03-07,10680,社群,家居,家居-001,2,39,69.82,否
SO202502535,2026-03-07,10274,直播,女装,女装-032,2,309,606.29,否
SO202504243,2026-03-07,11106,社群,女装,女装-027,2,149,278.85,是
SO202501655,2026-03-07,10994,直播,美妆,美妆-016,2,279,556.69,否
SO202500980,2026-03-07,11529,搜索,数码,数码-010,1,2029,1839.63,否
SO202501878,2026-03-07,10171,推荐,女装,女装-021,2,269,480.02,否
SO202503840,2026-03-07,11709,直播,女装,女装-001,1,169,159.49,否
SO202504809,2026-03-07,10532,直播,数码,数码-010,2,2029,3471.94,否
SO202501375,2026-03-08,10576,搜索,数码,数码-008,1,1259,1072.35,否
SO202504215,2026-03-08,10464,搜索,美妆,美妆-003,1,119,113.57,否
SO202504271,2026-03-08,11564,直播,女装,女装-030,2,109,198.93,否
SO202503695,2026-03-08,10808,直播,美妆,美妆-001,1,129,116.95,否
SO202503244,2026-03-08,11786,搜索,女装,女装-025,2,159,297.94,否
SO202502981,2026-03-08,11163,搜索,家居,家居-014,1,59,53.36,否
SO202502427,2026-03-08,11509,直播,女装,女装-005,3,269,710.29,否
SO202502022,2026-03-08,10106,社群,女装,女装-030,3,109,288.95,否
SO202504232,2026-03-08,11078,搜索,男装,男装-008,1,299,270.08,否
SO202503353,2026-03-08,11696,社群,男装,男装-011,1,169,168.04,否
SO202500412,2026-03-08,11259,推荐,女装,女装-035,2,289,546.96,否
SO202502209,2026-03-08,10508,推荐,家居,家居-007,1,199,187.4,否
SO202501389,2026-03-08,11129,直播,女装,女装-021,1,269,259.03,否
SO202500967,2026-03-08,11732,搜索,美妆,美妆-007,3,159,447.58,否
SO202504930,2026-03-08,10505,社群,美妆,美妆-018,1,489,420.99,否
